# A, B, C, D, E
7.199999999999999952e-09,0.000000000000000000e+00,1.352195760202968582e-24,1.028853196356836687e-23,-7.527343574232551547e-24
6.545597697326745314e-09,6.535732192405121481e-10,8.282481609019958859e-13,8.349621824708183239e-16,3.096443916793239568e-19
5.954960191103410235e-09,1.241832113461947042e-09,3.201184855550193159e-12,6.505726629961992607e-15,4.852496327582787620e-18
5.421474537550794570e-09,1.771540198911204005e-09,6.963845588307939712e-12,2.139388258764918265e-14,2.406710405877075217e-17
4.939252441517008703e-09,2.248721241863152167e-09,1.197681077514791041e-11,4.943130368477247212e-14,7.454101627900207801e-17
4.503046986898422712e-09,2.678744128119689623e-09,1.811456101242265224e-11,9.414557990223809198e-14,1.783895719662486294e-16
4.108179323714899609e-09,3.066397597692906561e-09,2.526401529031884263e-11,1.587006055280366371e-13,3.626963734133601355e-16
3.750474082177453446e-09,3.415956095055659262e-09,3.332323089237612356e-11,2.459328659631792745e-13,6.590085576582049670e-16
3.426202439903581894e-09,3.731237827025420138e-09,4.220024628630223512e-11,3.583839034645810322e-13,1.102881223700738065e-15
3.132031904107675291e-09,4.015655982485615751e-09,5.181205055565626371e-11,4.983293847027270060e-13,1.733466347147774011e-15
2.864981988766651930e-09,4.272263948057899767e-09,6.208366488880091764e-11,6.678051458120078697e-13,2.593140816695701500e-15
2.622385069727663024e-09,4.503795249190848858e-09,7.294732336555828356e-11,8.686305452114357020e-13,3.727170732474175498e-15
2.401851790474931793e-09,4.712698854906024463e-09,8.434174179345245860e-11,1.102429418391451381e-12,5.183407192343309804e-15
2.201240469532075886e-09,4.901170404889450607e-09,9.621146467294551232e-11,1.370648894219540097e-12,7.012011334162938786e-15
2.018630028742004716e-09,5.071179848215142566e-09,1.085062815350282919e-10,1.674576302904783060e-12,9.265204927933906886e-15
1.852296021238322419e-09,5.224495922418019251e-09,1.211807049185358428e-10,2.015354380370918848e-12,1.199704475905999781e-14
1.700689389928149044e-09,5.362707848750865582e-09,1.341935031531841723e-10,2.393994950096466314e-12,1.526321770088589786e-14
1.562417632726138170e-09,5.487244573269320172e-09,1.475072819058754649e-10,2.811391243590639606e-12,1.912085507460550304e-14
1.436228090464004776e-09,5.599391843026060322e-09,1.610881091433245477e-10,3.268329002707909725e-12,2.362836391293692493e-14
1.320993108088341768e-09,5.700307371369831572e-09,1.749051787766089760e-10,3.765496491177766629e-12,2.884527402261631744e-14
1.215696850094271167e-09,5.791034315484288915e-09,1.889305087940150092e-10,4.303493528625367318e-12,3.483209879570880094e-14
1.119423577682041060e-09,5.872513262298430587e-09,2.031386701626627705e-10,4.882839648104650147e-12,4.165020876711093560e-14
1.031347218353524477e-09,5.945592895261848275e-09,2.175065432009250481e-10,5.503981467140812186e-12,4.936171658557393415e-14
9.507220790081516765e-10,6.011039493774621548e-09,2.320130984923716343e-10,6.167299352281712100e-12,5.802937256875100996e-14
8.768745714204922245e-10,6.069545398920502599e-09,2.466391997401448725e-10,6.873113449589562063e-12,6.771646928584580542e-14
8.091958346043814472e-10,6.121736563247919274e-09,2.613674262491016659e-10,7.621689143522966912e-12,7.848675506231351042e-14
7.471351522695889771e-10,6.168179288393441165e-09,2.761819129787457321e-10,8.413242003210626169e-12,9.040435498543591441e-14
6.901940755990195168e-10,6.209386242100182210e-09,2.910682063359483110e-10,9.247942265899442076e-12,1.035336989289374768e-13
6.379211721286421309e-10,6.245821835434713865e-09,3.060131340767244896e-10,1.012591890394520189e-11,1.179394559959439143e-13
5.899073307828329574e-10,6.277907031562830062e-09,3.210046878635642561e-10,1.104726331608200044e-11,1.336864747095226018e-13
5.457815612651651701e-10,6.306023649144370610e-09,3.360319171818141598e-10,1.201203267993870486e-11,1.508397286976873556e-13
5.052072331688199681e-10,6.330518216107366314e-09,3.510848334583148592e-10,1.302025299867864813e-11,1.694642668246647079e-13
4.678787064739613662e-10,6.351705423138346041e-09,3.661543233489673554e-10,1.407192187089233574e-11,1.896251678244212036e-13
4.335183106481314103e-10,6.369871220569894462e-09,3.812320702717639388e-10,1.516701101123029613e-11,2.113874989913463581e-13
4.018736344531601403e-10,6.385275597364221178e-09,3.963104833597795711e-10,1.630546854432853585e-11,2.348162784797592817e-13
3.727150928694933474e-10,6.398155076499550901e-09,4.113826330951283490e-10,1.748722109514851231e-11,2.599764406624943786e-13
3.458337413473294080e-10,6.408724957192497242e-09,4.264421929622737873e-10,1.871217569299127109e-11,2.869328048973058741e-13
3.210393109456232469e-10,6.417181330971031345e-09,4.414833865281268391e-10,1.998022150856488041e-11,3.157500466576856271e-13
2.981584408792085270e-10,6.423702895593817068e-09,4.565009394173086185e-10,2.129123143823263521e-11,3.464926714617843063e-13
2.770330876085547640e-10,6.428452588144239552e-09,4.714900357057677072e-10,2.264506355055384192e-11,3.792249908904602793e-13
2.575190919176270530e-10,6.431579056269143899e-09,4.864462783050703051e-10,2.404156240732563325e-11,4.140111008168787190e-13
2.394848874694255341e-10,6.433217984445811178e-09,5.013656529526177383e-10,2.548056027045556017e-11,4.509148617096865548e-13
2.228103361379681597e-10,6.433493290313730431e-09,5.162444954623399203e-10,2.696187820597578700e-11,4.899998799987013745e-13
2.073856770177661848e-10,6.432518204471636522e-09,5.310794619252836212e-10,2.848532709314388491e-11,5.313294921706270892e-13
1.931105774317768894e-10,6.430396245690128538e-09,5.458675015801545703e-10,3.005070854862593594e-11,5.749667493206286109e-13
1.798932755179563520e-10,6.427222102204006103e-09,5.606058321023397301e-10,3.165781577209615710e-11,6.209744036144463084e-13
1.676498050918000597e-10,6.423082428606937667e-09,5.752919170842845600e-10,3.330643432131542246e-11,6.694148956659498942e-13
1.563032944742732785e-10,6.418056566857412108e-09,5.899234455027972974e-10,3.499634282204567912e-11,7.203503434779828387e-13
1.457833318559001456e-10,6.412217199004057531e-09,6.044983129889132807e-10,3.672731361934517504e-11,7.738425318025024357e-13
1.360253905513516367e-10,6.405630938437383430e-09,6.190146047337126269e-10,3.849911337447444209e-11,8.299529030909768178e-13
1.269703081959447396e-10,6.398358865762277157e-09,6.334705798796622651e-10,4.031150361318369800e-11,8.887425489822820547e-13
1.185638145559929062e-10,6.390457014750978430e-09,6.478646572618660652e-10,4.216424122873989800e-11,9.502722024351395566e-13
1.107561031776855751e-10,6.381976813270827214e-09,6.621954023762649380e-10,4.405707894413929260e-11,1.014602231117123627e-12
1.035014425918572635e-10,6.372965483577081651e-09,6.764615154636439211e-10,4.598976573641878305e-11,1.081792630984580523e-12
9.675782323142802380e-11,6.363466405911377838e-09,6.906618206091927880e-10,4.796204722722407218e-11,1.151903020758304150e-12
9.048663661048387398e-11,6.353519448945073432e-09,7.047952557661180811e-10,4.997366604151198752e-11,1.224992636812634642e-12
8.465238366420201672e-11,6.343161270248062279e-09,7.188608636214407095e-10,5.202436213754018278e-11,1.301120328771217588e-12
7.922240946181458714e-11,6.332425589643314158e-09,7.328577832286734175e-10,5.411387311073919309e-11,1.380344555463497809e-12
7.416666178467253023e-11,6.321343438020668082e-09,7.467852423400014694e-10,5.624193447332750926e-11,1.462723381327475465e-12
6.945747131189088533e-11,6.309943383926923729e-09,7.606425503761617875e-10,5.840827991165816798e-11,1.548314473371637663e-12
6.506935138025995023e-11,6.298251740019610526e-09,7.744290919784077433e-10,6.061264152346842035e-11,1.637175098290000474e-12
6.097881548597049689e-11,6.286292751265921201e-09,7.881443210918365756e-10,6.285475003611843768e-11,1.729362120174623953e-12
5.716421087576008985e-11,6.274088766583806412e-09,8.017877555336965250e-10,6.513433500846691781e-11,1.824931998292315032e-12
5.360556673660178514e-11,6.261660395456607283e-09,8.153589720053216830e-10,6.745112501595723846e-11,1.923940785494043423e-12
5.028445563801917891e-11,6.249026650903985621e-09,8.288576015091338796e-10,6.980484782233027794e-11,2.026444126559835196e-12
4.718386701130215812e-11,6.236205080058412102e-09,8.422833251363240551e-10,7.219523053695964774e-11,2.132497257005812336e-12
4.428809156688774670e-11,6.223211883476436378e-09,8.556358701934533100e-10,7.462199976114331430e-11,2.242155002077183957e-12
4.158261565636304434e-11,6.210062024206068928e-09,8.689150066395095219e-10,7.708488172211554365e-11,2.355471775929006297e-12
3.905402468018641709e-11,6.196769327534477765e-09,8.821205438069465436e-10,7.958360239726113719e-11,2.472501581113496337e-12
3.668991472741749332e-11,6.183346572252793287e-09,8.952523273830574057e-10,8.211788762863145317e-11,2.593298008113997920e-12
