# A, B, C, D, E
0.020,2.673,0.741,-2.565,-2.878
0.000,0.308,-0.606,-0.414,-0.661
0.000,0.086,0.162,-0.558,-0.352
0.000,0.000,0.000,0.000,0.000
0.005,0.018,-0.020,-0.364,-0.272
0.005,0.010,0.343,-0.490,-0.697
0.010,0.000,0.288,-0.096,-0.399
0.015,0.020,-1.157,-0.753,-0.926
0.010,0.000,0.035,-0.258,-0.302
0.005,0.010,0.020,-1.152,-0.743
0.000,0.013,-0.308,-0.212,-0.268
0.030,0.005,-0.515,-0.480,-0.632
0.005,0.000,0.197,-0.111,-0.100
0.104,0.013,-0.813,-0.379,-0.888
0.010,0.015,-0.399,-0.247,-0.241
0.000,0.000,0.000,0.000,0.000
0.005,0.000,0.419,-0.333,-0.468
0.066,0.010,-0.485,-0.348,-0.535
0.000,0.000,0.000,0.000,0.000
0.157,0.005,-0.682,-0.197,-0.828
0.222,0.015,-0.535,-0.429,-0.758
0.583,0.025,-1.439,-1.179,-1.607
0.162,0.000,-0.414,-0.449,-0.414
0.220,0.023,-0.833,-0.578,-0.566
0.616,0.051,-1.359,-1.561,-1.320
0.247,0.027,-0.732,-0.997,-1.018
0.384,0.005,-0.253,-1.308,-1.382
0.547,0.081,-1.594,-2.215,-2.404
0.439,0.025,-0.672,-0.864,-1.185
0.657,0.076,-1.838,-2.000,-1.743
1.534,0.103,-2.460,-2.320,-2.903
1.110,0.083,-2.154,-1.894,-2.156
0.988,0.057,-1.611,-1.914,-1.805
1.416,0.072,-1.742,-1.746,-1.654
1.369,0.063,-1.746,-1.673,-2.487
1.221,0.068,-1.772,-1.118,-1.564
2.227,0.119,-2.712,-2.136,-2.767
1.167,0.118,-2.311,-1.903,-1.919
1.759,0.140,-2.356,-2.241,-2.295
1.888,0.102,-1.637,-1.814,-2.791
1.504,0.110,-1.511,-1.626,-1.317
1.772,0.161,-2.449,-1.740,-2.580
2.042,0.135,-2.183,-2.375,-2.383
1.528,0.155,-2.293,-2.624,-3.246
1.966,0.169,-2.260,-2.868,-2.859
2.209,0.167,-2.050,-1.632,-2.402
2.262,0.187,-2.426,-2.862,-3.220
1.684,0.160,-1.722,-2.212,-2.320
2.070,0.237,-2.565,-2.520,-2.759
2.031,0.158,-2.098,-2.529,-2.769
1.843,0.216,-2.168,-2.162,-2.526
1.537,0.198,-1.999,-2.132,-2.364
1.532,0.189,-1.925,-1.949,-2.337
2.718,0.210,-1.891,-2.869,-2.659
2.656,0.323,-3.207,-2.755,-2.801
2.143,0.223,-1.975,-1.587,-2.907
2.646,0.344,-3.128,-2.601,-3.144
2.660,0.272,-2.399,-2.593,-3.420
2.024,0.181,-1.561,-1.778,-2.510
2.429,0.312,-2.522,-2.604,-2.336
2.068,0.260,-1.937,-2.345,-2.690
2.007,0.268,-2.101,-1.645,-2.297
1.862,0.287,-2.003,-2.529,-2.694
2.098,0.327,-2.253,-2.243,-2.319
2.381,0.362,-2.490,-2.727,-3.060
2.659,0.277,-1.873,-2.947,-2.911
2.122,0.286,-1.954,-2.412,-2.033
2.396,0.298,-1.816,-2.403,-2.335
2.242,0.342,-2.179,-1.638,-2.986
2.858,0.452,-2.698,-2.173,-3.099
2.390,0.431,-2.603,-2.478,-2.362
2.282,0.227,-1.270,-1.984,-2.176
1.935,0.270,-1.663,-1.999,-2.682
2.591,0.323,-1.898,-2.178,-3.290
1.980,0.332,-1.852,-2.181,-2.694
3.252,0.362,-1.967,-2.536,-3.822
2.243,0.284,-1.590,-1.984,-2.108
2.005,0.369,-2.121,-2.131,-2.301
2.425,0.455,-2.445,-2.479,-2.948
2.024,0.350,-1.843,-2.002,-2.332
